GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm(V^2),Time/V^2,Comp/V^2
Sparse,32,94,0.0948,0.000096,0.000010,1072,0.00,1024.0,0.000000094,1.046875
Sparse,33,102,0.0966,0.000125,0.000043,1144,0.00,1089.0,0.000000115,1.050505
Sparse,34,102,0.0909,0.000115,0.000013,1205,0.00,1156.0,0.000000099,1.042388
Sparse,35,109,0.0916,0.000114,0.000013,1242,0.00,1225.0,0.000000093,1.013878
Sparse,36,114,0.0905,0.000120,0.000012,1318,0.00,1296.0,0.000000093,1.016975
Sparse,37,124,0.0931,0.000128,0.000014,1440,0.00,1369.0,0.000000094,1.051863
Sparse,38,128,0.0910,0.000136,0.000016,1499,0.00,1444.0,0.000000094,1.038089
Sparse,39,128,0.0864,0.000139,0.000015,1584,0.00,1521.0,0.000000091,1.041420
Sparse,40,129,0.0827,0.000146,0.000016,1666,0.00,1600.0,0.000000091,1.041250
Sparse,41,132,0.0805,0.000148,0.000017,1666,0.00,1681.0,0.000000088,0.991077
Sparse,42,132,0.0767,0.000161,0.000018,1824,0.00,1764.0,0.000000091,1.034014
Sparse,43,131,0.0725,0.000166,0.000020,1868,0.00,1849.0,0.000000090,1.010276
Sparse,44,138,0.0729,0.000161,0.000018,1827,0.00,1936.0,0.000000083,0.943698
Sparse,45,139,0.0702,0.000181,0.000019,2100,0.00,2025.0,0.000000089,1.037037
Sparse,46,145,0.0700,0.000190,0.000021,2179,0.00,2116.0,0.000000090,1.029773
Sparse,47,139,0.0643,0.000190,0.000020,2188,0.00,2209.0,0.000000086,0.990493
Sparse,48,143,0.0634,0.000204,0.000021,2376,0.00,2304.0,0.000000089,1.031250
Sparse,49,141,0.0599,0.000203,0.000016,2326,0.00,2401.0,0.000000084,0.968763
Sparse,50,141,0.0576,0.000217,0.000020,2525,0.00,2500.0,0.000000087,1.010000
Sparse,51,147,0.0576,0.000221,0.000019,2627,0.00,2601.0,0.000000085,1.009996
Sparse,52,146,0.0551,0.000209,0.000017,2413,0.00,2704.0,0.000000077,0.892382
Sparse,53,148,0.0537,0.000235,0.000018,2612,0.00,2809.0,0.000000084,0.929868
Sparse,54,149,0.0521,0.000238,0.000017,2717,0.00,2916.0,0.000000082,0.931756
Sparse,55,154,0.0519,0.000264,0.000017,3045,0.00,3025.0,0.000000087,1.006612
Sparse,56,156,0.0506,0.000247,0.000017,2866,0.00,3136.0,0.000000079,0.913903
Sparse,57,161,0.0504,0.000285,0.000019,3217,0.00,3249.0,0.000000088,0.990151
Sparse,58,171,0.0517,0.000275,0.000022,3269,0.00,3364.0,0.000000082,0.971760
Sparse,59,172,0.0503,0.000286,0.000023,3383,0.00,3481.0,0.000000082,0.971847
