GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm((V+E)logV),Time/((V+E)logV),Comp/((V+E)logV)
Sparse,146,438,0.0207,0.000126,0.000001,1599,47.32,4198.9,0.000000030,0.380897
Sparse,147,441,0.0205,0.000125,0.000003,1578,30.94,4233.4,0.000000029,0.372907
Sparse,148,444,0.0204,0.000125,0.000003,1570,27.78,4268.0,0.000000029,0.368010
Sparse,149,447,0.0203,0.000132,0.000005,1595,35.12,4302.6,0.000000031,0.370859
Sparse,150,450,0.0201,0.000132,0.000008,1602,13.77,4337.3,0.000000030,0.369432
Sparse,151,453,0.0200,0.000128,0.000002,1617,10.84,4372.0,0.000000029,0.370006
Sparse,152,456,0.0199,0.000133,0.000005,1623,24.57,4406.7,0.000000030,0.368451
Sparse,153,459,0.0197,0.000135,0.000002,1664,61.38,4441.5,0.000000030,0.374646
Sparse,154,462,0.0196,0.000135,0.000005,1692,48.36,4476.3,0.000000030,0.377987
Sparse,155,465,0.0195,0.000133,0.000001,1668,19.87,4511.2,0.000000029,0.369821
Sparse,156,468,0.0194,0.000181,0.000057,1684,39.10,4546.1,0.000000040,0.370428
Sparse,157,471,0.0192,0.000138,0.000002,1713,83.59,4581.0,0.000000030,0.374007
Sparse,158,474,0.0191,0.000135,0.000004,1673,31.63,4616.0,0.000000029,0.362436
Sparse,159,477,0.0190,0.000146,0.000009,1778,69.98,4651.0,0.000000031,0.382427
Sparse,160,480,0.0189,0.000143,0.000006,1689,17.59,4686.0,0.000000030,0.360504
Sparse,161,483,0.0187,0.000137,0.000004,1752,69.34,4721.1,0.000000029,0.371099
Sparse,162,486,0.0186,0.000144,0.000008,1736,25.82,4756.2,0.000000030,0.365066
Sparse,163,489,0.0185,0.000145,0.000001,1818,34.67,4791.4,0.000000030,0.379432
Sparse,164,492,0.0184,0.000147,0.000004,1793,38.79,4826.6,0.000000030,0.371625
Sparse,165,495,0.0183,0.000153,0.000010,1854,56.01,4861.8,0.000000032,0.381411
Sparse,166,498,0.0182,0.000178,0.000046,1740,17.59,4897.0,0.000000036,0.355454
Sparse,167,501,0.0181,0.000159,0.000011,1808,23.79,4932.3,0.000000032,0.366562
Sparse,168,504,0.0180,0.000146,0.000002,1841,32.12,4967.6,0.000000029,0.370599
Sparse,169,507,0.0179,0.000149,0.000006,1805,35.26,5003.0,0.000000030,0.360917
Sparse,170,510,0.0178,0.000155,0.000007,1898,34.65,5038.4,0.000000031,0.376840
Sparse,171,513,0.0176,0.000154,0.000006,1911,12.83,5073.8,0.000000030,0.376640
Sparse,172,516,0.0175,0.000158,0.000010,1923,32.34,5109.3,0.000000031,0.376375
Sparse,173,519,0.0174,0.000185,0.000045,1879,44.51,5144.8,0.000000036,0.365355
Sparse,174,522,0.0173,0.000156,0.000004,1945,42.71,5180.3,0.000000030,0.375590
Sparse,175,525,0.0172,0.000161,0.000005,1952,50.68,5215.8,0.000000031,0.374372
Sparse,176,528,0.0171,0.000162,0.000005,1965,31.51,5251.4,0.000000031,0.374247
Sparse,177,531,0.0170,0.000158,0.000001,2011,47.42,5287.1,0.000000030,0.380488
Sparse,178,534,0.0169,0.000287,0.000139,2036,58.49,5322.7,0.000000054,0.382511
Sparse,179,537,0.0169,0.000165,0.000008,1995,102.92,5358.4,0.000000031,0.372312
Sparse,180,540,0.0168,0.000165,0.000010,1983,5.44,5394.1,0.000000031,0.367683
Sparse,181,543,0.0167,0.000172,0.000010,2055,15.15,5429.9,0.000000032,0.378522
Sparse,182,546,0.0166,0.000159,0.000002,1994,37.75,5465.7,0.000000029,0.364944
Sparse,183,549,0.0165,0.000168,0.000006,2032,31.05,5501.5,0.000000031,0.369476
Sparse,184,552,0.0164,0.000162,0.000002,2067,31.94,5537.3,0.000000029,0.373344
Sparse,185,555,0.0163,0.000176,0.000009,2087,46.55,5573.2,0.000000031,0.374589
Sparse,186,558,0.0162,0.000162,0.000002,2096,43.62,5609.1,0.000000029,0.373736
Sparse,187,561,0.0161,0.000166,0.000002,2126,29.45,5645.1,0.000000029,0.376729
